StickyNoteControl snc,stickyNoteControl,stickynotecontrol
TextBoxLine tbl,textBoxLine,textboxline
TextBoxLineDrawingVisual tbldv,textBoxLineDrawingVisual,textboxlinedrawingvisual
TextBoxView tbv,textBoxView,textboxview
MatchedTextInfo mti,matchedTextInfo,matchedtextinfo
ControlTemplate ct,controlTemplate,controltemplate
AppBarButton abb
AccessText at,accessText,accesstext
Border b,border
Button b,button
Calendar c,calendar
Canvas c,canvas
CheckBox cb,checkBox,checkbox
ComboBox cb,comboBox,combobox
ComboBoxItem cbi,comboBoxItem,comboboxitem
ContentControl cc,contentControl,contentcontrol
ContentPresenter cp,contentPresenter,contentpresenter
ContextMenu cm,contextMenu,contextmenu
ContextMenuService cms,contextMenuService,contextmenuservice
Control c,control
DataGrid dg,dataGrid,datagrid
DataGridBoundColumn dgbc,dataGridBoundColumn,datagridboundcolumn
DataGridCell dgc,dataGridCell,datagridcell
DataGridColumn dgc,dataGridColumn,datagridcolumn
DataGridRow dgr,dataGridRow,datagridrow
DatePicker dp,datePicker,datepicker
DatePickerFormat dpf,datePickerFormat,datepickerformat
Decorator d,decorator
Dock d,dock
DockPanel dp,dockPanel,dockpanel
DocumentViewer dv,documentViewer,documentviewer
Expander e,expander
FlowDocumentReader fdr,flowDocumentReader,flowdocumentreader
Frame f,frame
Grid g,grid
GridView gv,gridView,gridview
GridViewColumn gvc,gridViewColumn,gridviewcolumn
GridViewColumnHeader gvch,gridViewColumnHeader,gridviewcolumnheader
GridViewHeaderRowPresenter gvhrp,gridViewHeaderRowPresenter,gridviewheaderrowpresenter
GridViewRowPresenter gvrp,gridViewRowPresenter,gridviewrowpresenter
GridSplitter gs,gridSplitter,gridsplitter
GroupBox gb,groupBox,groupbox
Image i,image
InkCanvas ic,inkCanvas,inkcanvas
InkPresenter ip,inkPresenter,inkpresenter
ItemCollection ic,itemCollection,itemcollection
ItemContainerGenerator icg,itemContainerGenerator,itemcontainergenerator
ItemContainerTemplate ict,itemContainerTemplate,itemcontainertemplate
ItemContainerTemplateKey ictk,itemContainerTemplateKey,itemcontainertemplatekey
ItemContainerTemplateSelector icts,itemContainerTemplateSelector,itemcontainertemplateselector
DefaultItemContainerTemplateSelector dicts,defaultItemContainerTemplateSelector,defaultitemcontainertemplateselector
ItemsControl ic,itemsControl,itemscontrol
ElementViewportPosition evp,elementViewportPosition,elementviewportposition
ItemsPanelTemplate ipt,itemsPanelTemplate,itemspaneltemplate
ItemsPresenter ip,itemsPresenter,itemspresenter
Label l,lbl,label
ListBox lb,listBox,listbox
ListBoxItem lbi,listBoxItem,listboxitem
ListView lv,listView,listview
ListViewItem lvi,listViewItem,listviewitem
MediaState ms,mediaState,mediastate
MediaElement me,mediaElement,mediaelement
Menu m,menu
MenuItemRole mir,menuItemRole,menuitemrole
MenuItem mi,menuItem,menuitem
Page p,page
Panel p,panel
PasswordBox pb,passwordBox,passwordbox
ScrollContentPresenter scp,scrollContentPresenter,scrollcontentpresenter
PrintDialog pd,printDialog,printdialog
ProgressBar pb,progressBar,progressbar
RadioButton rb,radioButton,radiobutton
RichTextBox rtb,richTextBox,richtextbox
ScrollViewer sv,scrollViewer,scrollviewer
Separator s,separator
Slider s,slider
SpellCheck sc,spellCheck,spellcheck
SpellingReform sr,spellingReform,spellingreform
StackPanel sp,stackPanel,stackpanel
TabControl tc,tabControl,tabcontrol
TabItem ti,tabItem,tabitem
TextBlock tb,textBlock,textblock
TextBox tb,textBox,textbox
ToolBar tb,toolBar,toolbar
ToolBarTray tbt,toolBarTray,toolbartray
ToolTip tt,toolTip,tooltip
TreeView tv,treeView,treeview
TreeViewItem tvi,treeViewItem,treeviewitem
UIElementCollection uiec,uIElementCollection,uielementcollection
UserControl uc,userControl,usercontrol
Validation v,validation
Viewbox v,viewbox
Viewport3D v3d,viewport3D,viewport3d
VirtualizingPanel vp,virtualizingPanel,virtualizingpanel
VirtualizingStackPanel vsp,virtualizingStackPanel,virtualizingstackpanel
WebBrowser wb,webBrowser,webbrowser
WrapPanel wp,wrapPanel,wrappanel
ColumnDefinitionCollection cdc,columnDefinitionCollection,columndefinitioncollection
ColumnDefinition cd,columnDefinition,columndefinition
RowDefinitionCollection rdc,rowDefinitionCollection,rowdefinitioncollection
RowDefinition rd,rowDefinition,rowdefinition
LineRecord lr,lineRecord,linerecord
DefaultTemplate dt,defaultTemplate,defaulttemplate
DefaultSelector ds,defaultSelector,defaultselector
TextBlockComboBox tbcb,textBlockComboBox,textblockcombobox
Flags f,flags
Counters c,counters
Generator g,generator
BatchGenerator bg,batchGenerator,batchgenerator
Command c,command
SliderGesture sg,sliderGesture,slidergesture
